file,class
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_1029_0000_0188_0279_0081_0079.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0311_0000_0623_0247_0047_0045.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4447_0000_0076_0162_0057_0055.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_0994_0000_0099_0331_0055_0053.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4463_0000_0045_0143_0065_0062.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_1056_0000_1070_0190_0146_0144.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0299_0000_0705_0266_0044_0042.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_0990_0000_0142_0330_0051_0049.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4451_0000_0097_0160_0060_0058.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0327_0000_0712_0176_0066_0063.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4441_0000_0003_0175_0049_0049.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0323_0000_0661_0197_0056_0053.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4457_0000_0094_0149_0061_0058.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4443_0000_0031_0171_0050_0050.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0279_0000_1004_0243_0032_0031.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_0966_0000_0470_0356_0040_0039.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4465_0000_0019_0141_0065_0062.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0291_0000_0810_0261_0038_0037.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_0986_0000_0168_0335_0049_0047.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_0958_0000_0661_0358_0037_0036.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0307_0000_0634_0256_0046_0044.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4449_0000_0090_0161_0060_0058.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0295_0000_0753_0269_0038_0037.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4461_0000_0069_0145_0063_0060.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0339_0000_1106_0073_0095_0093.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4445_0000_0054_0168_0052_0052.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_0982_0000_0211_0336_0043_0042.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0287_0000_0874_0258_0035_0034.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4459_0000_0083_0150_0061_0058.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_0998_0000_0055_0318_0060_0058.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0331_0000_0798_0152_0076_0073.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_0974_0000_0326_0357_0043_0042.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0335_0000_0921_0113_0084_0081.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0315_0000_0627_0233_0048_0046.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_0970_0000_0394_0358_0041_0040.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_1045_0000_0690_0258_0097_0095.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4453_0000_0102_0157_0060_0058.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_1039_0000_0529_0268_0082_0080.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4464_0000_0032_0145_0065_0062.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_1002_0000_0011_0317_0062_0060.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0303_0000_0666_0262_0045_0043.png,50
./italy_training_processed/50/2015-11-26 14-30-26.693.wmv_0319_0000_0631_0222_0052_0050.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4455_0000_0106_0152_0060_0058.png,50
./italy_training_processed/50/2015-11-30 14-38-40.546.wmv_4466_0000_0006_0137_0066_0063.png,50
./italy_training_processed/50/2016-01-04 13-36-15.786.wmv_0978_0000_0269_0349_0043_0042.png,50
./italy_training_processed/57/2016-01-25 14.17.54.mov_3399_0000_0255_0516_0049_0051.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3388_0000_0823_0518_0066_0067.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3394_0000_0824_0518_0066_0067.png,57
